janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;;;
31,7;12,1;9,0;35,2;64;49;69;71;64;47;38;21;;;
33,8;24,5;11,2;37,9;67;62;62;73;66;46;42;21;;;
35,2;31,9;13,0;35,2;65;67;59;73;66;48;56;25;;;
-99;17,3;14,5;35,7;61;67;57;73;64;43;42;30;;;
29;8,7;14,8;39,0;65;52;62;69;69;39;35;29;;;
33,4;5,7;10,8;45;56;48;66;69;65;51;36;26;;;
32,1;11,5;18,2;39;59;51;64;64;63;54;34;23;;;
27,1;14,5;21,2;41;63;52;62;63;63;44;36;25;;;
24,3;20,5;20,8;50;57;50;62;64;62;41;35;32;;;
24,4;19,8;18,6;53;50;50;64;68;59;48;34;32;;;
24,4;23,0;21,0;35;56;58;66;69;62;50;25;32;;;
18,7;20,7;24,8;39;66;62;71;68;63;48;21;31;;;
15,5;15,6;30,1;42;64;60;70;62;60;51;23;28;;;
18,3;15,3;25,8;44;68;55;70;64;56;54;-99;22;;;
22,9;15,9;24,1;50;60;61;72;66;63;52;-99;10;;;
16;21,3;13,6;56;63;64;76;63;56;51;27;5;;;
17,7;22,8;8,1;57;69;68;76;63;-99;52;-99;8;;;
19,2;23,0;11,2;47;64;69;69;63;54;52;33;17;;;
17,9;24,7;21,1;49;67;70;69;68;61;53;33;11;;;
14,9;17,2;27,7;50;49;65;71;67;64;43;25;14;;;
23,7;10,5;29,0;53;57;67;71;63;63;42;29;20;;;
13,6;10,2;27,6;36;59;74;69;56;66;41;29;18;;;
13;8,4;30,2;38;63;73;65;56;52;38;28;17;;;
15,3;11,8;28,3;44;64;69;64;59;49;39;28;15;;;
15;3,9;31,0;48;59;64;67;64;44;37;27;16;;;
23;0,2;35,8;47;54;69;72;66;45;34;26;17;;;
20,5;0,8;26,0;48;64;71;76;69;46;37;23;20;;;
19,6;3,3;20,3;49;59;72;74;70;48;41;29;21;;;
19,2;;22,2;52;60;73;70;72;41;32;23;25;;;
29,2;;24,5;60;67;72;66;64;42;30;9;24;;;
23,9;;30,0;;49;;68;64;;32;12;;;;
